LastSeen,IP,UID,Name,SW,Vdd,CpuTemp,AccTemp,WakeUp,AccDataX,AccDataY,AccDataZ
11/08/2016 06:50:18,62.149.145.23,00310015-4D335719-20303038,sala_big,0.7,3040,23,255,TIME,0.00,-1.39.00,0.00
11/08/2016 06:00:57,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2934,23,16,TIME,0.00,-1.38.00,0.00
11/08/2016 05:39:33,62.149.145.24,00080011-4D335719-20303038,free_1,0.8,2762,29,23,TIME,0.00,0.00,1.07
11/08/2016 03:04:16,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3055,24,255,TIME,0.00,-1.39.00,0.00
11/08/2016 03:03:17,62.149.145.24,00440005-4D335719-20303038,corridoio,0.7,3057,24,255,TIME,0.00,-1.02.00,0.00
11/08/2016 02:57:11,62.149.145.24,00080003-4D335719-20303038,camera_max,0.7,3052,24,255,TIME,0.00,-1.05.00,0.00
11/08/2016 02:48:54,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2909,22,15,TIME,0.00,-1.01.00,0.00
11/08/2016 02:25:25,62.149.145.20,00228019-4D335719-20303038,camera_manu,0.7,3044,22,255,TIME,0.00,-1.00.00,0.00
11/08/2016 02:06:32,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2937,22,15,TIME,0.00,-1.38.00,0.00
11/08/2016 01:48:41,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3053,23,255,TIME,0.00,-1.39.00,0.00
11/08/2016 01:00:28,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2948,25,18,TIME,0.00,-1.00.00,0.00
11/08/2016 00:40:47,62.149.145.24,00080011-4D335719-20303038,free_1,0.8,2765,29,24,TIME,0.00,0.00,1.07
10/08/2016 22:08:25,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3055,28,255,TIME,0.00,-1.39.00,0.00
10/08/2016 22:03:27,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3059,26,255,TIME,0.00,-1.02.00,0.00
10/08/2016 21:54:38,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3058,25,255,TIME,0.00,-1.05.00,0.00
10/08/2016 21:53:28,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2956,24,17,TIME,0.00,-1.03.00,0.00
10/08/2016 21:26:00,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3044,25,255,TIME,0.00,-1.00.00,0.00
10/08/2016 21:08:27,62.149.145.19,0010800B-4D335719-20303038,sala_small,0.8,2958,25,18,TIME,0.00,-1.38.00,0.00
10/08/2016 20:47:05,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3054,26,255,TIME,0.00,-1.39.00,0.00
10/08/2016 19:59:59,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2979,30,23,TIME,0.00,-1.38.00,0.00
10/08/2016 19:42:04,62.149.145.23,00080011-4D335719-20303038,free_1,0.8,2768,30,23,TIME,0.00,0.00,1.07
10/08/2016 17:13:23,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3025,38,32,TIME,0.00,-1.39.00,0.00
10/08/2016 17:03:53,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3053,29,255,TIME,0.00,-1.02.00,0.00
10/08/2016 16:58:06,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,3023,28,21,TIME,0.00,-1.01.00,0.00
10/08/2016 16:52:15,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3056,30,255,TIME,0.00,-1.05.00,0.00
10/08/2016 16:26:45,62.149.145.23,00228019-4D335719-20303038,camera_manu,0.7,3044,29,255,TIME,0.00,-1.01.00,0.00
10/08/2016 16:10:20,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2979,29,22,TIME,0.00,-1.38.00,0.00
10/08/2016 15:45:38,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3054,30,255,TIME,0.00,-1.38.00,0.00
10/08/2016 15:00:01,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,3000,39,32,TIME,0.00,-1.38.00,0.00
10/08/2016 14:43:22,62.149.145.24,00080011-4D335719-20303038,free_1,0.8,2770,30,24,TIME,0.00,0.00,1.07
10/08/2016 12:18:09,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3055,29,255,MOVE,0.00,-1.35.00,0.00
10/08/2016 12:18:08,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3051,29,255,MOVE,0.00,-1.08.00,0.00
10/08/2016 12:04:41,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3049,30,255,MOVE,0.00,-1.37.00,0.00
10/08/2016 12:04:40,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3051,30,255,MOVE,0.00,-1.37.00,0.00
10/08/2016 12:04:39,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3051,30,255,MOVE,0.00,-1.10.00,0.00
10/08/2016 12:04:37,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3051,30,255,MOVE,0.00,-1.38.00,0.00
